"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-27","Premium Chamois Drying Cloth Car Drying Towel 26"" x 15"" Super Absorbent Fast Drying Chamois Environmental and Durable Car Wash Cloth Accessory","","4 ratings","Ayvicco","B08CKC382F","in Automotive","","","","4 global ratings","https://www.amazon.sg/Premium-Chamois-Absorbent-Environmental-Accessory/dp/B08CKC382F/ref=zg_bs_automotive_sccl_1/357-1402573-5534539?psc=1"
"2022-12-27","AstroAI Multimeter 2000 Counts Digital Multimeter with DC AC Voltmeter and Ohm Volt Amp Tester ; Measures Voltage, Current, Resistance; Tests Live Wire, Continuity","S$15.29","32,577 ratings","","B01ISAMUA6","in Automotive Diagnostic, Testing & Measuring Tools","AHMET NURİ YİLMAZ","4.5 out of 5 stars","","32,577 global ratings","https://www.amazon.sg/AstroAI-Multimeter-Voltmeter-Resistance-Continuity/dp/B01ISAMUA6/ref=zg_bs_automotive_sccl_2/357-1402573-5534539?psc=1"
"2022-12-27","California Scents Spillproof Organic Air Freshener, Laguna Breeze, 1.5 Ounce Canister (Pack of 4)","","2,377 ratings","California Scents","B006O3RUR8","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,377 global ratings","https://www.amazon.sg/California-Scents-Spillproof-Freshener-Canister/dp/B006O3RUR8/ref=zg_bs_automotive_sccl_3/357-1402573-5534539?psc=1"
"2022-12-27","Carmate C171 Clear Magic Foam Max Sponge for Car Washing Supplies, Creamy Foam Lasts Twice As Long As Old","S$7.04","","","B0B34SCNH7","","Amazon Japan","","","","https://www.amazon.sg/Carmate-C171-Sponge-Washing-Supplies/dp/B0B34SCNH7/ref=zg_bs_automotive_sccl_4/357-1402573-5534539?psc=1"
"2022-12-27","Chenille Premium Scratch-Free Microfiber Wash Mitt Green (2 Pack)","","958 ratings","","B09K4RCY7Q","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","958 global ratings","https://www.amazon.sg/Chenille-Premium-Scratch-Free-Microfiber-Green/dp/B09K4RCY7Q/ref=zg_bs_automotive_sccl_5/357-1402573-5534539?psc=1"
"2022-12-27","Ceramic Spray Coating for Cars, High Gloss Anti-Protection Car Scratch Nano Ceramic Coating Spray, UV Protection Car Wax Polish Spray for Car Exterior Care","","","Yuxinkang","B0B39BBRB5","","","","","","https://www.amazon.sg/Ceramic-Coating-Anti-Protection-Protection-Exterior/dp/B0B39BBRB5/ref=zg_bs_automotive_sccl_6/357-1402573-5534539?psc=1"
"2022-12-27","McGard 84538 Black (M12 x 1.5 Thread Size) Bulge Style Cone Seat Wheel Installation Kit for 5-Lug Wheels","","318 ratings","McGard","B00DIX1PNC","","","","","318 global ratings","https://www.amazon.sg/McGard-84538-Thread-Installation-Wheels/dp/B00DIX1PNC/ref=zg_bs_automotive_sccl_7/357-1402573-5534539?psc=1"
"2022-12-27","Car Side Door Grab Handle Pocket Box for 2019 2020 2021 2022 Mazda 3 Mazda3 CX-30 CX30 Armrest Storage Organizer Box Phone Container Key Holder ABS Tray Insert Glove Pallet (2PCS Front Door)","","140 ratings","BST CAR","B08P7LTYZX","","","","There are 0 reviews and 0 ratings from Singapore","140 global ratings","https://www.amazon.sg/2019-2020-2021-2022-CX-30/dp/B08P7LTYZX/ref=zg_bs_automotive_sccl_8/357-1402573-5534539?psc=1"
"2022-12-27","Automotive Floor Mats Burgundy Climaproof for All Weather Protection Universal Fit Heavy Duty Rubber fits Most Cars, SUVs, and Trucks, Full Set Trim to Fit FH Group F11313BURGUNDY","","14,973 ratings","FH Group","B07G3SFJ9F","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","14,973 global ratings","https://www.amazon.sg/Automotive-Climaproof-Protection-FH-F11313BURGUNDY/dp/B07G3SFJ9F/ref=zg_bs_automotive_sccl_9/357-1402573-5534539?psc=1"
"2022-12-27","AstroAI Electric Air Pump 150PSI Portable Bicycle Pump with 4500mAh Battery LED Light Air Compressor Tire Pump for Car, Bicycle, Motorcycle, Basketball, E-Scooter etc. As a Flashlight & Power Bank","","399 ratings","AstroAI","B09R9SZWS3","in Automotive Tire & Wheel Tools","","4.3 out of 5 stars","","399 global ratings","https://www.amazon.sg/AstroAI-Compressor-Motorcycle-Basketball-Flashlight/dp/B09R9SZWS3/ref=zg_bs_automotive_sccl_10/357-1402573-5534539?psc=1"
