"Date","Title","Price","No of Rating","Manufacturer","ASIN","Categories","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2023-01-13","OSRAM COOL BLUE INTENSE H7, +100% more brightness, up to 5,000K, halogen headlight lamp, LED look, duo box (2 lamps), 64210CBN-HCB","","2,969 ratings","OSRAM","B099X6TF76","automotive","in Automotive","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,971 global ratings","https://www.amazon.sg/OSRAM-INTENSE-brightness-headlight-64210CBN-HCB/dp/B099X6TF76/ref=zg_bs_automotive_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","HUGGIES Platinum Naturemade Pants XXL, 26 Pieces","","3 ratings","Kimberly-Clark Singapore Pte Ltd (PTP) (Prime Now)","B08K9X9R1R","baby","","","","","3 global ratings","https://www.amazon.sg/HUGGIES-Platinum-Naturemade-Pants-Pieces/dp/B08K9X9R1R/ref=zg_bs_baby_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Dove Beauty Nourishing Body Wash, 1L","","39 ratings","Unilever","B06XZLPTMJ","beauty","in Beauty","","4.4 out of 5 stars","","39 global ratings","https://www.amazon.sg/Dove-Beauty-Nourishing-Body-Wash/dp/B06XZLPTMJ/ref=zg_bs_beauty_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Spare","","389 ratings","","0593593804","books","in Books","","4.7 out of 5 stars","There are 0 reviews and 1 rating from Singapore","389 global ratings","https://www.amazon.sg/Spare-Prince-Harry-Duke-Sussex/dp/0593593804/ref=zg_bs_books_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","ProCase Carrying Case for Nintendo Switch OLED Model & Nintendo Switch, Hard Shell Travel Box Case for Nintendo Switch OLED (2021) / Switch (2017) with 8 Game Cards Holders -Black","","1,887 ratings","ProCase","B06XFVTHQ4","computers","","","4.7 out of 5 stars","","1,887 global ratings","https://www.amazon.sg/ProCase-Carrying-Nintendo-Switch-Holders/dp/B06XFVTHQ4/ref=zg_bs_computers_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Assure Face Mask, 50ct","","8 ratings","YEAP Medical Services Pte Ltd","B07L44VM2G","diy","in DIY & Tools","","","","8 global ratings","https://www.amazon.sg/Assure-Face-Mask-50ct/dp/B07L44VM2G/ref=zg_bs_diy_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Apple AirTag 4 pack","","8,961 ratings","","B093667BW5","electronics","in Electronics","","4.5 out of 5 stars","","8,961 global ratings","https://www.amazon.sg/Apple-MX542ZP-A-AirTag-pack/dp/B093667BW5/ref=zg_bs_electronics_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Packing Cubes for Suitcase - 9 PCS Travel Packing Cubes Lightweight Suitcase Organizer Bags Set Luggage Packing Organizers for Travel Accessories with Shoes Bags (Gray)","","25 ratings","VINNYSEN","B0B66SBK2S","fashion","in Fashion","","","","25 global ratings","https://www.amazon.sg/Packing-Cubes-Suitcase-Lightweight-Accessories/dp/B0B66SBK2S/ref=zg_bs_fashion_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Combat Roach Killer Bait Stations, 6 count","","17 ratings","Henkel","B0725K12DS","lawn-and-garden","in Garden","","4.5 out of 5 stars","","17 global ratings","https://www.amazon.sg/Combat-Roach-Killer-Stations-count/dp/B0725K12DS/ref=zg_bs_lawn-and-garden_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Coca-Cola Zero Sugar, 320ml (Pack of 12)","","107 ratings","Coca-Cola","B006HEX3TI","grocery","","","4.5 out of 5 stars","","107 global ratings","https://www.amazon.sg/Coca-Cola-Zero-Sugar-320ml-Pack/dp/B006HEX3TI/ref=zg_bs_grocery_sccl_1/357-3930757-0741420?psc=1"
"2023-01-13","Scott Value Multi Purpose Towels, 55ct (Pack of 8)","","135 ratings","Kimberly-Clark","B0716R3CG2","hpc","","","","","135 global ratings","https://www.amazon.sg/Scott-Value-Multi-Purpose-Towels/dp/B0716R3CG2/ref=zg_bs_hpc_sccl_1/357-3930757-0741420?psc=1"
