Title,Price,No of Rating,Manufacturer,ASIN,Category,Rating,International Ratings,Url
"Xiaomi Mi 1S Portable Air Pump, Black, One Size",,"5,779 ratings",Xiaomi,B09JZWJ2QY,in Automotive,4.7 out of 5 stars,There are 0 reviews and 2 ratings from Singapore,https://www.amazon.sg/Xiaomi-Portable-Pump-Black-Size/dp/B09JZWJ2QY/ref=zg_bs_automotive_sccl_1/356-0230111-1502915?psc=1
Stokke Tripp Trap Natural,S$278.46,726 ratings,Stokke,B0088TL0UY,in Baby Products,4.7 out of 5 stars,There are 0 reviews and 1 rating from Singapore,https://www.amazon.sg/Stokke-816559101705-Tripp-Trap-Natural/dp/B0088TL0UY/ref=zg_bs_baby_sccl_1/356-0230111-1502915?psc=1
"Sukin Botanical Body Wash, 1L",,878 ratings,Sukin,B003VJQL9Q,,4.5 out of 5 stars,,https://www.amazon.sg/Sukin-Botanical-Body-Wash-1L/dp/B003VJQL9Q/ref=zg_bs_beauty_sccl_1/356-0230111-1502915?psc=1
I Love You to the Moon and Back,,"58,848 ratings",,,in Books,,,https://www.amazon.sg/I-Love-You-Moon-Back/dp/1589255518/ref=zg_bs_books_sccl_1/356-0230111-1502915?psc=1
"tomtoc 360 Protective Laptop Sleeve for 14-inch MacBook Pro M1 Pro/Max A2442 2021, 13-inch New MacBook Air M2/A2681 2022 with Hard Shell Case, Water-Resistant MacBook Case Bag with Accessory Pocket",,1 rating,Tomtoc,B08BC3JNHY,in Computers,,,https://www.amazon.sg/tomtoc-Protective-14-inch-Water-Resistant-Accessory/dp/B08BC3JNHY/ref=zg_bs_computers_sccl_1/356-0230111-1502915?psc=1
"Command 17206-ES Large Picture Hanging Strips, White 4 Pairs",,"17,968 ratings",Command,B00404YKZI,,4.5 out of 5 stars,,https://www.amazon.sg/Command-17206-ES-Picture-Hanging-Strips/dp/B00404YKZI/ref=zg_bs_diy_sccl_1/356-0230111-1502915?psc=1
"UGREEN Nexode 100W USB C Charger Plug 4-Port GaN Type C Fast Wall Power Adapter also Supports 20W Compatible with MacBook Pro/Air, iPad Mini, iPhone 13 Pro Max, Galaxy S22, Pixel 6, Matebook, etc",,535 ratings,UGREEN,B091N7FVDL,in Electronics,4.5 out of 5 stars,,https://www.amazon.sg/UGREEN-Charger-Supports-Compatible-Matebook/dp/B091N7FVDL/ref=zg_bs_electronics_sccl_1/356-0230111-1502915?psc=1
Champion Men's Classic Jersey T-Shirt,,"25,758 ratings",,,,4.5 out of 5 stars,,https://www.amazon.sg/Champion-Mens-Classic-Jersey-T-Shirt/dp/B01N2QLYHZ/ref=zg_bs_fashion_sccl_1/356-0230111-1502915?psc=1
"Combat Roach Killer Bait Stations, 6 count",,14 ratings,,B0725K12DS,in Garden,4.4 out of 5 stars,,https://www.amazon.sg/Combat-Roach-Killer-Stations-count/dp/B0725K12DS/ref=zg_bs_lawn-and-garden_sccl_1/356-0230111-1502915?psc=1
"Coca-Cola Zero Sugar, 320ml (Pack of 12)",,100 ratings,Coca-Cola,B006HEX3TI,in Grocery,4.5 out of 5 stars,,https://www.amazon.sg/Coca-Cola-Zero-Sugar-320ml-Pack/dp/B006HEX3TI/ref=zg_bs_grocery_sccl_1/356-0230111-1502915?psc=1
"Oral-B Genius 9000 Electric Toothbrush, Black",,28 ratings,Oral-B,B06ZZCMJBX,"in Health, Household & Personal Care",,,https://www.amazon.sg/Oral-B-Genius-Electric-Toothbrush-Black/dp/B06ZZCMJBX/ref=zg_bs_hpc_sccl_1/356-0230111-1502915?psc=1
Scotch-Brite Scrub Dots Non-Scratch Sponge (2 Pieces),,7 ratings,Scotch-Brite,B08QV81LPT,in Home,,,https://www.amazon.sg/Scotch-Brite-Scrub-Non-Scratch-Sponge-Pieces/dp/B08QV81LPT/ref=zg_bs_home_sccl_1/356-0230111-1502915?psc=1
Scotch-Brite Scrub Dots Non-Scratch Sponge (2 Pieces),,7 ratings,Scotch-Brite,B08QV81LPT,in Home,,,https://www.amazon.sg/Scotch-Brite-Scrub-Non-Scratch-Sponge-Pieces/dp/B08QV81LPT/ref=zg_bs_biss_sccl_1/356-0230111-1502915?psc=1
"Glade Solid Air Freshener, Deodorizer for Home and Bathroom, Clean Linen, 6 Oz",,"14,796 ratings",Glade,B00RBPY7JC,,4.4 out of 5 stars,There are 0 reviews and 0 ratings from Singapore,https://www.amazon.sg/Glade-Solid-Freshener-Deodorizer-Bathroom/dp/B00RBPY7JC/ref=zg_bs_kitchen_sccl_1/356-0230111-1502915?psc=1
"SK-II Facial Treatment Essence, 230 milliliters",,18 ratings,,B08HZZFKVX,in Luxury Beauty,4.4 out of 5 stars,,https://www.amazon.sg/SK-II-Facial-Treatment-Essence-milliliters/dp/B08HZZFKVX/ref=zg_bs_luxury-beauty_sccl_1/356-0230111-1502915?psc=1
The Hobbit: Motion Picture Trilogy (Extended & Theatrical)(4K Ultra HD + Digital) [Blu-ray],,"3,057 ratings",,,in Movies & TV,,,https://www.amazon.sg/Hobbit-Picture-Trilogy-Extended-Theatrical/dp/B08KQBYM1X/ref=zg_bs_dvd_sccl_1/356-0230111-1502915?psc=1
Voyage,,"10,774 ratings",,,in Music,4.6 out of 5 stars,There are 0 reviews and 4 ratings from Singapore,https://www.amazon.sg/Voyage-ABBA/dp/B09DYT6SGJ/ref=zg_bs_music_sccl_1/356-0230111-1502915?psc=1
"Audio Technica ATH-M50XBT-2 Over-Ear Professional Studio Monitor Wireless Headphones, Black,One-Size",S$157.03,726 ratings,Audio Technica,B09BYFHL25,in Musical Instruments,4.5 out of 5 stars,,https://www.amazon.sg/Audio-Technica-ATH-M50XBT-2-Professional-Headphones/dp/B09BYFHL25/ref=zg_bs_musical-instruments_sccl_1/356-0230111-1502915?psc=1
"Paperone Copier, A4 70 GSM, 1 Ream, 500 sheets",,307 ratings,PaperOne,B01ND0RLQW,,4.7 out of 5 stars,,https://www.amazon.sg/Paperone-Copier-A4-70-GSM/dp/B01ND0RLQW/ref=zg_bs_office-products_sccl_1/356-0230111-1502915?psc=1
"Outward Hound Nina Ottosson Dog Brick Interactive Puzzle Game Toy for Dogs, Blue",,20 ratings,Outward Hound,B0711Y9XTF,in Pet Supplies,,,https://www.amazon.sg/Outward-Hound-Ottosson-Interactive-Puzzle/dp/B0711Y9XTF/ref=zg_bs_pet-supplies_sccl_1/356-0230111-1502915?psc=1
Corel PaintShop Pro 2023 Ultimate | Powerful Photo Editing & Graphic Design Software + Creative Suite [PC Key Card],,6 ratings,,,in Software,,There are 0 reviews and 0 ratings from Singapore,https://www.amazon.sg/Corel-PaintShop-Ultimate-Powerful-Software/dp/B0B5T2J8TG/ref=zg_bs_software_sccl_1/356-0230111-1502915?psc=1
"Zojirushi SM-SD60NM One Touch Flip-Open Mug, 0.60 L, Matte Gold",S$21.69,"12,665 ratings",,B074PQXQTF,,4.6 out of 5 stars,,https://www.amazon.sg/Zojirushi-SM-SD60NM-Touch-Flip-Open-Matte/dp/B074PQXQTF/ref=zg_bs_sporting-goods_sccl_1/356-0230111-1502915?psc=1
LEGO Classic 10698 Large Creative Brick Box,,27 ratings,LEGO,B00PY3EYQO,,,,https://www.amazon.sg/LEGO-Classic-10698-Large-Creative/dp/B00PY3EYQO/ref=zg_bs_toys_sccl_1/356-0230111-1502915?psc=1
"Mario Kart 8 Deluxe, ASI, Switch",,"64,451 ratings",,B01N1037CV,in Video Games,,,https://www.amazon.sg/Mario-Kart-Deluxe-ASI-Switch/dp/B01N1037CV/ref=zg_bs_videogames_sccl_1/356-0230111-1502915?psc=1
